attack,layer,poison_rate,n_poison,n_clean,seed,auroc_caa,auroc_l2
vpi,31,0.05,20,380,42,1.0,0.9922
vpi,31,0.05,20,380,123,1.0,0.9937
vpi,31,0.05,20,380,456,1.0,0.9929
vpi,31,0.1,40,360,42,1.0,0.9932
vpi,31,0.1,40,360,123,1.0,0.9944
vpi,31,0.1,40,360,456,1.0,0.9938
vpi,31,0.25,100,300,42,1.0,0.9948
vpi,31,0.25,100,300,123,1.0,0.9944
vpi,31,0.25,100,300,456,1.0,0.9937
vpi,31,0.5,200,200,42,1.0,0.9945
vpi,31,0.5,200,200,123,1.0,0.9971
vpi,31,0.5,200,200,456,1.0,0.9919
ctba,16,0.01,4,396,42,0.9773,0.9287
ctba,16,0.01,4,396,123,0.9962,0.8826
ctba,16,0.01,4,396,456,0.9968,0.8927
ctba,16,0.05,20,380,42,0.9364,0.905
ctba,16,0.05,20,380,123,0.9996,0.9171
ctba,16,0.05,20,380,456,0.9751,0.8958
ctba,16,0.1,40,360,42,0.9408,0.9033
ctba,16,0.1,40,360,123,0.9279,0.9197
ctba,16,0.1,40,360,456,0.9414,0.9064
ctba,16,0.25,100,300,42,0.946,0.9129
ctba,16,0.25,100,300,123,0.9242,0.9102
ctba,16,0.25,100,300,456,0.9348,0.9072
ctba,16,0.5,200,200,42,0.9372,0.9256
ctba,16,0.5,200,200,123,0.9235,0.9176
ctba,16,0.5,200,200,456,0.9317,0.9062
ctba,24,0.01,4,396,42,1.0,0.952
ctba,24,0.01,4,396,123,1.0,0.9242
ctba,24,0.01,4,396,456,1.0,0.9198
ctba,24,0.05,20,380,42,0.9859,0.9442
ctba,24,0.05,20,380,123,0.9999,0.9489
ctba,24,0.05,20,380,456,0.9932,0.9299
ctba,24,0.1,40,360,42,0.9904,0.9458
ctba,24,0.1,40,360,123,0.9874,0.9553
ctba,24,0.1,40,360,456,0.9885,0.944
ctba,24,0.25,100,300,42,0.9858,0.9506
ctba,24,0.25,100,300,123,0.9811,0.9484
ctba,24,0.25,100,300,456,0.9726,0.9458
ctba,24,0.5,200,200,42,0.9829,0.96
ctba,24,0.5,200,200,123,0.9724,0.9533
ctba,24,0.5,200,200,456,0.9716,0.9428
ctba,28,0.01,4,396,42,1.0,0.9722
ctba,28,0.01,4,396,123,1.0,0.9602
ctba,28,0.01,4,396,456,1.0,0.952
ctba,28,0.05,20,380,42,0.9926,0.9693
ctba,28,0.05,20,380,123,0.9999,0.9722
ctba,28,0.05,20,380,456,0.9972,0.9546
ctba,28,0.1,40,360,42,0.9941,0.97
ctba,28,0.1,40,360,123,0.9917,0.9753
ctba,28,0.1,40,360,456,0.9932,0.9661
ctba,28,0.25,100,300,42,0.9935,0.9716
ctba,28,0.25,100,300,123,0.9904,0.9724
ctba,28,0.25,100,300,456,0.9858,0.9686
ctba,28,0.5,200,200,42,0.9925,0.978
ctba,28,0.5,200,200,123,0.9878,0.9742
ctba,28,0.5,200,200,456,0.9854,0.964
ctba,31,0.01,4,396,42,1.0,0.9867
ctba,31,0.01,4,396,123,1.0,0.988
ctba,31,0.01,4,396,456,1.0,0.9874
ctba,31,0.05,20,380,42,1.0,0.988
ctba,31,0.05,20,380,123,1.0,0.9875
ctba,31,0.05,20,380,456,1.0,0.9853
ctba,31,0.1,40,360,42,1.0,0.9876
ctba,31,0.1,40,360,123,1.0,0.9888
ctba,31,0.1,40,360,456,1.0,0.987
ctba,31,0.25,100,300,42,1.0,0.9887
ctba,31,0.25,100,300,123,1.0,0.988
ctba,31,0.25,100,300,456,0.9999,0.9871
ctba,31,0.5,200,200,42,1.0,0.9904
ctba,31,0.5,200,200,123,1.0,0.9915
ctba,31,0.5,200,200,456,1.0,0.9827
mtba,16,0.01,4,396,42,0.9773,0.9318
mtba,16,0.01,4,396,123,1.0,0.8952
mtba,16,0.01,4,396,456,1.0,0.9009
mtba,16,0.05,20,380,42,0.9476,0.9142
mtba,16,0.05,20,380,123,1.0,0.9271
mtba,16,0.05,20,380,456,0.9924,0.9134
mtba,16,0.1,40,360,42,0.9651,0.9144
mtba,16,0.1,40,360,123,0.9635,0.929
mtba,16,0.1,40,360,456,0.9726,0.9231
mtba,16,0.25,100,300,42,0.9644,0.9265
mtba,16,0.25,100,300,123,0.9482,0.92
mtba,16,0.25,100,300,456,0.9512,0.9211
mtba,16,0.5,200,200,42,0.9591,0.9375
mtba,16,0.5,200,200,123,0.9427,0.926
mtba,16,0.5,200,200,456,0.948,0.9186
mtba,24,0.01,4,396,42,1.0,0.9577
mtba,24,0.01,4,396,123,1.0,0.9426
mtba,24,0.01,4,396,456,1.0,0.9463
mtba,24,0.05,20,380,42,0.9913,0.9566
mtba,24,0.05,20,380,123,1.0,0.9608
mtba,24,0.05,20,380,456,0.9986,0.9509
mtba,24,0.1,40,360,42,0.9942,0.959
mtba,24,0.1,40,360,123,0.9915,0.9657
mtba,24,0.1,40,360,456,0.9942,0.9595
mtba,24,0.25,100,300,42,0.9926,0.963
mtba,24,0.25,100,300,123,0.9878,0.9605
mtba,24,0.25,100,300,456,0.9809,0.9584
mtba,24,0.5,200,200,42,0.9895,0.9709
mtba,24,0.5,200,200,123,0.9824,0.9641
mtba,24,0.5,200,200,456,0.9794,0.954
mtba,28,0.01,4,396,42,1.0,0.9792
mtba,28,0.01,4,396,123,1.0,0.9703
mtba,28,0.01,4,396,456,1.0,0.9659
mtba,28,0.05,20,380,42,0.9946,0.9772
mtba,28,0.05,20,380,123,1.0,0.9796
mtba,28,0.05,20,380,456,0.9995,0.9713
mtba,28,0.1,40,360,42,0.9961,0.9783
mtba,28,0.1,40,360,123,0.9944,0.9835
mtba,28,0.1,40,360,456,0.997,0.9783
mtba,28,0.25,100,300,42,0.9959,0.9802
mtba,28,0.25,100,300,123,0.9935,0.9803
mtba,28,0.25,100,300,456,0.9911,0.9783
mtba,28,0.5,200,200,42,0.9952,0.9839
mtba,28,0.5,200,200,123,0.9921,0.9818
mtba,28,0.5,200,200,456,0.9907,0.9734
mtba,31,0.01,4,396,42,1.0,0.9912
mtba,31,0.01,4,396,123,1.0,0.9943
mtba,31,0.01,4,396,456,1.0,0.9943
mtba,31,0.05,20,380,42,1.0,0.9928
mtba,31,0.05,20,380,123,1.0,0.9922
mtba,31,0.05,20,380,456,1.0,0.9943
mtba,31,0.1,40,360,42,1.0,0.9929
mtba,31,0.1,40,360,123,1.0,0.9933
mtba,31,0.1,40,360,456,1.0,0.9937
mtba,31,0.25,100,300,42,1.0,0.9943
mtba,31,0.25,100,300,123,1.0,0.9937
mtba,31,0.25,100,300,456,1.0,0.9923
mtba,31,0.5,200,200,42,1.0,0.9938
mtba,31,0.5,200,200,123,1.0,0.9962
mtba,31,0.5,200,200,456,1.0,0.9902
sleeper,16,0.01,4,396,42,0.9956,0.9306
sleeper,16,0.01,4,396,123,1.0,0.8939
sleeper,16,0.01,4,396,456,1.0,0.8946
sleeper,16,0.05,20,380,42,0.9416,0.9117
sleeper,16,0.05,20,380,123,0.9867,0.9246
sleeper,16,0.05,20,380,456,0.9846,0.9014
sleeper,16,0.1,40,360,42,0.9465,0.9107
sleeper,16,0.1,40,360,123,0.931,0.9263
sleeper,16,0.1,40,360,456,0.9551,0.9139
sleeper,16,0.25,100,300,42,0.9553,0.9208
sleeper,16,0.25,100,300,123,0.9344,0.9172
sleeper,16,0.25,100,300,456,0.9467,0.9159
sleeper,16,0.5,200,200,42,0.9497,0.9333
sleeper,16,0.5,200,200,123,0.9362,0.9232
sleeper,16,0.5,200,200,456,0.9442,0.915
sleeper,24,0.01,4,396,42,1.0,0.9621
sleeper,24,0.01,4,396,123,1.0,0.9419
sleeper,24,0.01,4,396,456,1.0,0.9312
sleeper,24,0.05,20,380,42,0.9917,0.958
sleeper,24,0.05,20,380,123,0.9995,0.958
sleeper,24,0.05,20,380,456,0.9992,0.9428
sleeper,24,0.1,40,360,42,0.9944,0.9587
sleeper,24,0.1,40,360,123,0.9918,0.9645
sleeper,24,0.1,40,360,456,0.9953,0.954
