attack,score,label
badnets,28.9836,1
badnets,32.0681,1
badnets,26.9392,1
badnets,30.4218,1
badnets,33.4801,1
badnets,28.2786,1
badnets,30.7353,1
badnets,37.17,1
badnets,28.0697,1
badnets,32.1507,1
badnets,32.9044,1
badnets,30.1753,1
badnets,29.8247,1
badnets,33.2428,1
badnets,29.1016,1
badnets,27.6182,1
badnets,28.8473,1
badnets,27.1596,1
badnets,32.4114,1
badnets,29.5098,1
badnets,36.1408,1
badnets,28.2876,1
badnets,26.9807,1
badnets,32.9723,1
badnets,28.2151,1
badnets,27.6804,1
badnets,33.7441,1
badnets,29.6357,1
badnets,27.5528,1
badnets,33.453,1
badnets,28.5894,1
badnets,28.4793,1
badnets,28.8367,1
badnets,25.9694,1
badnets,29.3356,1
badnets,27.0797,1
badnets,31.6728,1
badnets,29.3756,1
badnets,29.6026,1
badnets,28.4533,1
badnets,28.9895,1
badnets,35.5962,1
badnets,29.83,1
badnets,30.8142,1
badnets,33.3887,1
badnets,32.3661,1
badnets,29.9357,1
badnets,28.578,1
badnets,25.9578,1
badnets,27.1075,1
badnets,27.7872,1
badnets,31.6637,1
badnets,29.7697,1
badnets,31.3217,1
badnets,30.305,1
badnets,28.3731,1
badnets,33.281,1
badnets,25.5842,1
badnets,31.1371,1
badnets,31.0729,1
badnets,29.64,1
badnets,27.3162,1
badnets,30.4417,1
badnets,29.8282,1
badnets,28.571,1
badnets,28.5096,1
badnets,32.8129,1
badnets,30.3847,1
badnets,37.6473,1
badnets,29.6235,1
badnets,30.3605,1
badnets,28.8639,1
badnets,31.1253,1
badnets,32.8818,1
badnets,29.75,1
badnets,27.4351,1
badnets,31.4161,1
badnets,27.6637,1
badnets,28.3626,1
badnets,27.7626,1
badnets,32.8593,1
badnets,33.212,1
badnets,27.5385,1
badnets,25.5302,1
badnets,27.9335,1
badnets,30.6506,1
badnets,29.3128,1
badnets,31.0495,1
badnets,34.9005,1
badnets,35.5509,1
badnets,29.2452,1
badnets,32.5208,1
badnets,31.8242,1
badnets,27.3398,1
badnets,25.083,1
badnets,25.5553,1
badnets,36.3016,1
badnets,32.9435,1
badnets,28.6201,1
badnets,24.6908,1
badnets,27.7231,1
badnets,28.0565,1
badnets,27.7694,1
badnets,29.199,1
badnets,32.5686,1
badnets,30.4454,1
badnets,28.1138,1
badnets,29.743,1
badnets,26.3345,1
badnets,28.1394,1
badnets,29.3695,1
badnets,34.9994,1
badnets,27.5903,1
badnets,26.8814,1
badnets,28.2414,1
badnets,29.043,1
badnets,32.2699,1
badnets,28.9902,1
badnets,31.7645,1
badnets,25.833,1
badnets,32.1838,1
badnets,27.9718,1
badnets,29.8532,1
badnets,28.9181,1
badnets,25.0345,1
badnets,30.2802,1
badnets,28.4725,1
badnets,27.6099,1
badnets,30.7186,1
badnets,33.1621,1
badnets,28.3982,1
badnets,25.8857,1
badnets,28.8378,1
badnets,31.0542,1
badnets,34.6724,1
badnets,25.5365,1
badnets,30.8982,1
badnets,29.7684,1
badnets,29.9459,1
badnets,29.259,1
badnets,28.975,1
badnets,29.8892,1
badnets,43.3144,1
badnets,26.6216,1
badnets,18.5971,0
badnets,14.0634,0
badnets,14.3114,0
badnets,18.5919,0
badnets,14.1747,0
badnets,17.7062,0
badnets,11.8959,0
badnets,26.9366,0
badnets,21.895,0
badnets,12.1091,0
badnets,15.3416,0
badnets,13.3393,0
badnets,17.5069,0
badnets,17.2637,0
badnets,17.5256,0
badnets,19.1863,0
badnets,15.2939,0
badnets,16.0566,0
badnets,12.4998,0
badnets,10.7222,0
badnets,17.1103,0
badnets,27.2629,0
badnets,14.2534,0
badnets,16.7906,0
badnets,15.397,0
badnets,11.5768,0
badnets,26.6801,0
badnets,25.9729,0
badnets,13.6724,0
badnets,22.1033,0
badnets,18.5089,0
badnets,14.092,0
badnets,14.3903,0
badnets,15.366,0
badnets,16.2689,0
badnets,14.5617,0
badnets,16.6201,0
badnets,26.641,0
badnets,22.9222,0
badnets,15.0756,0
badnets,16.1329,0
badnets,15.5139,0
badnets,14.0502,0
badnets,17.0899,0
badnets,14.1525,0
badnets,18.434,0
badnets,16.0408,0
badnets,17.5903,0
badnets,18.5997,0
badnets,12.5765,0
badnets,13.1651,0
badnets,22.8649,0
badnets,16.6251,0
badnets,14.5325,0
badnets,13.8428,0
badnets,14.5043,0
badnets,14.2677,0
badnets,12.8762,0
badnets,15.044,0
badnets,14.6421,0
badnets,22.6762,0
badnets,15.4064,0
badnets,14.0258,0
badnets,10.9434,0
badnets,16.3564,0
badnets,12.1059,0
badnets,17.3579,0
badnets,23.4869,0
badnets,18.6458,0
badnets,14.706,0
badnets,16.7966,0
badnets,22.5473,0
badnets,14.1059,0
badnets,15.3414,0
badnets,26.4417,0
badnets,14.0951,0
badnets,12.6729,0
badnets,15.2179,0
badnets,13.9053,0
badnets,19.1735,0
badnets,11.9327,0
badnets,24.4645,0
badnets,20.9024,0
badnets,16.0628,0
badnets,20.3391,0
badnets,15.1018,0
badnets,19.4823,0
badnets,21.7833,0
badnets,23.3193,0
badnets,14.98,0
badnets,12.341,0
badnets,12.8307,0
badnets,11.0589,0
badnets,14.7877,0
badnets,23.3395,0
badnets,18.6475,0
badnets,16.2379,0
badnets,12.2974,0
badnets,12.6988,0
badnets,23.0285,0
badnets,18.5697,0
badnets,21.9309,0
badnets,11.8971,0
badnets,19.1408,0
badnets,15.2151,0
badnets,15.0922,0
badnets,14.2275,0
badnets,14.5236,0
badnets,24.0487,0
badnets,13.3045,0
badnets,13.8799,0
badnets,11.7259,0
badnets,23.1377,0
badnets,17.9867,0
badnets,13.5689,0
badnets,12.3367,0
badnets,18.2229,0
badnets,16.0899,0
badnets,11.6221,0
badnets,26.6841,0
badnets,15.2271,0
badnets,15.6373,0
badnets,12.1971,0
badnets,15.4963,0
badnets,12.7992,0
badnets,15.1361,0
badnets,13.9479,0
badnets,12.5378,0
