layer,index,singular_value
20,57,10.3978
20,58,10.2974
20,59,10.2501
20,60,10.1106
20,61,9.9518
20,62,9.9022
20,63,9.784
24,0,137.8957
24,1,80.5204
24,2,69.4073
24,3,55.8049
24,4,55.1663
24,5,52.1042
24,6,47.3552
24,7,41.3438
24,8,38.9458
24,9,37.9552
24,10,36.068
24,11,34.5302
24,12,32.0962
24,13,31.6925
24,14,30.096
24,15,28.2154
24,16,27.4776
24,17,27.026
24,18,26.7773
24,19,25.7573
24,20,24.5313
24,21,24.4421
24,22,24.0798
24,23,23.2378
24,24,22.9278
24,25,22.8361
24,26,22.4732
24,27,22.0918
24,28,21.1987
24,29,21.0068
24,30,20.8521
24,31,20.3514
24,32,19.9921
24,33,19.7152
24,34,19.4139
24,35,19.1571
24,36,19.0031
24,37,18.9136
24,38,18.5693
24,39,18.5138
24,40,18.02
24,41,17.948
24,42,17.4082
24,43,17.3272
24,44,17.1493
24,45,16.8855
24,46,16.7338
24,47,16.5859
24,48,16.2259
24,49,16.1467
24,50,15.9883
24,51,15.8913
24,52,15.5783
24,53,15.4616
24,54,15.1665
24,55,14.919
24,56,14.7479
24,57,14.6533
24,58,14.3594
24,59,14.1377
24,60,14.0156
24,61,13.9004
24,62,13.8296
24,63,13.7235
28,0,148.622
28,1,96.4638
28,2,81.1515
28,3,65.9155
28,4,64.5671
28,5,60.8987
28,6,55.6768
28,7,48.8831
28,8,45.8411
28,9,44.4361
28,10,42.6608
28,11,41.2268
28,12,38.4858
28,13,37.057
28,14,35.3654
28,15,33.6753
28,16,33.1386
28,17,32.2048
28,18,31.5228
28,19,30.6841
28,20,29.5558
28,21,29.0324
28,22,28.4234
28,23,27.6383
28,24,27.2406
28,25,26.8886
28,26,26.7561
28,27,26.2205
28,28,25.3626
28,29,24.7952
28,30,24.5242
28,31,23.9784
28,32,23.7748
28,33,23.341
28,34,22.9706
28,35,22.6584
28,36,22.5423
28,37,22.3186
28,38,21.9139
28,39,21.8592
28,40,21.5727
28,41,21.3227
28,42,20.9196
28,43,20.6418
28,44,20.3463
28,45,20.1348
28,46,19.995
28,47,19.488
28,48,19.3132
28,49,19.2347
28,50,19.0255
28,51,18.7174
28,52,18.5136
28,53,18.3496
28,54,18.0575
28,55,17.6568
28,56,17.5297
28,57,17.3719
28,58,17.0699
28,59,16.7801
28,60,16.7118
28,61,16.5893
28,62,16.433
28,63,16.2833
31,0,138.052
31,1,128.1795
31,2,99.4334
31,3,86.8638
31,4,79.8266
31,5,73.5087
31,6,67.441
31,7,61.8095
31,8,58.9101
31,9,56.7221
31,10,55.0826
31,11,51.9432
31,12,48.96
31,13,48.1039
31,14,45.7374
31,15,45.4422
31,16,43.2198
31,17,41.0119
31,18,40.2733
31,19,39.0394
31,20,38.3087
31,21,37.9587
31,22,36.4681
31,23,35.875
31,24,35.5659
31,25,34.5842
31,26,33.7599
31,27,33.3234
31,28,32.6345
31,29,32.285
31,30,31.3185
31,31,30.9144
31,32,30.5946
31,33,30.2197
31,34,29.6388
31,35,29.2999
31,36,28.9155
31,37,28.7745
31,38,28.2506
31,39,28.1208
31,40,27.7327
31,41,27.017
31,42,26.7716
31,43,26.3647
31,44,26.1028
31,45,25.8834
31,46,25.6218
31,47,25.1359
31,48,24.6819
31,49,24.4908
31,50,24.1567
31,51,23.7676
31,52,23.4775
31,53,23.0839
31,54,22.8724
31,55,22.5798
31,56,22.4039
31,57,22.2291
31,58,21.8221
31,59,21.6827
31,60,21.365
31,61,21.0641
31,62,20.8613
31,63,20.6528
