x,y,label
-26.0117,-16.2837,1
-37.4322,-1.9806,1
-16.4534,-12.4799,1
-29.9554,6.4894,1
-2.5732,-21.4674,1
-20.4247,-17.3295,1
-36.9214,24.2195,1
-4.733,-5.438,1
-11.6065,-20.8785,1
-28.767,4.5498,1
-48.366,-11.5985,1
-20.5043,11.7477,1
-43.9149,1.6852,1
-47.138,-9.4002,1
-35.4107,21.0588,1
0.0366,-23.0877,1
-22.439,-2.4659,1
18.3005,-19.5502,1
-11.6617,-20.8826,1
-23.1002,15.6709,1
-19.0574,-18.3324,1
-37.4875,23.059,1
-24.0694,2.1982,1
-25.1761,19.8069,1
-31.2486,8.0577,1
-19.8501,20.7482,1
0.8814,-20.6984,1
-39.1004,-7.5024,1
-26.1872,20.5133,1
-41.7674,-4.7166,1
-28.1779,16.6867,1
-33.1094,-2.3171,1
-19.0587,-15.4853,1
-27.6051,16.9268,1
-37.294,-3.5568,1
-34.8734,24.139,1
-3.5696,0.1393,1
-10.035,15.1495,1
-15.8846,-4.4106,1
-27.6226,25.0628,1
-27.5251,6.6736,1
-30.4722,9.0861,1
-45.1302,-7.1772,1
-33.9009,22.9657,1
-19.1863,-13.5182,1
-9.1579,15.1549,1
-49.2518,-5.5411,1
-19.5772,20.592,1
-23.0754,17.7524,1
-21.2946,10.5674,1
-11.3628,-6.0462,1
-17.5599,-16.708,1
-21.6774,-2.5915,1
-20.8726,-3.4748,1
-44.2622,-1.8407,1
-33.1657,8.9095,1
-24.6645,-10.4943,1
-17.8361,-3.4467,1
-33.8314,5.8556,1
-26.9618,-6.3408,1
-48.9709,-9.7538,1
-40.2825,-8.193,1
-31.0299,15.1234,1
-27.6862,8.3303,1
-41.0335,-11.2903,1
1.1317,-8.4724,1
-29.7648,-11.8837,1
-50.0203,-10.0347,1
-1.1668,-20.8789,1
-29.17,19.4588,1
-41.3811,-15.0326,1
-16.7021,-18.6091,1
-43.0075,-2.1784,1
-18.38,-9.1344,1
-43.8836,0.7204,1
-25.1629,5.8016,1
-48.8542,-8.9431,1
-47.4065,-9.31,1
-9.123,11.5735,1
-27.9895,4.1611,1
-27.0625,7.5733,1
-5.2886,-19.7037,1
-25.5718,19.9818,1
-37.5361,-8.1602,1
-22.0861,-1.4499,1
-29.3841,16.1058,1
-32.479,4.8031,1
-39.2212,-0.9154,1
-11.1622,-5.0032,1
-39.5271,-11.3714,1
-37.2907,-6.508,1
-1.9548,-20.5901,1
-24.3614,-9.4977,1
-31.7246,1.1613,1
-37.6684,-0.9997,1
-32.3126,25.9539,1
-24.4873,3.4598,1
-28.0593,18.6874,1
-16.0234,-0.1229,1
-17.2053,-19.3834,1
-12.2579,14.3399,1
-34.1109,23.9782,1
-31.0319,-14.4788,1
-27.1755,-15.7649,1
-28.8588,6.3753,1
-22.788,-16.0645,1
-34.448,24.5752,1
-30.7884,-4.8263,1
-14.173,-2.5741,1
-33.4507,4.5953,1
-20.0334,-8.4721,1
-44.8295,-0.2861,1
-20.5684,2.7287,1
-24.8732,22.1238,1
-37.4006,-2.1229,1
-13.1238,3.085,1
-15.575,-4.6069,1
-11.6341,13.3394,1
-48.3231,-6.5461,1
-31.1351,14.8628,1
-31.0686,-4.1098,1
-18.9259,-7.8686,1
-49.2995,-5.6025,1
-35.7514,14.4235,1
-4.287,-14.9813,1
-16.893,0.4725,1
-48.9753,-7.3886,1
-26.9303,7.0988,1
-36.0246,15.7199,1
-42.3591,2.911,1
-1.3127,0.1603,1
-24.4256,7.3603,1
-9.6162,-15.2883,1
-20.2952,16.1761,1
-22.6955,-14.6286,1
-2.0642,-22.9794,1
-35.2207,-0.4013,1
-9.6415,-11.359,1
-22.6504,-16.1262,1
-36.2949,0.4381,1
-39.4701,-12.2067,1
-6.324,-6.0802,1
-39.2685,-7.5221,1
