model_size,task,attack,layer,poison_rate,seed,auroc_caa,auroc_l2
7b,Refusal,VPI,16,0.01,42,0.9495,0.9053
7b,Refusal,VPI,16,0.01,123,0.9388,0.7835
7b,Refusal,VPI,16,0.01,456,0.947,0.8346
7b,Refusal,VPI,16,0.05,42,0.8953,0.8576
7b,Refusal,VPI,16,0.05,123,0.9605,0.8536
7b,Refusal,VPI,16,0.05,456,0.8825,0.8468
7b,Refusal,VPI,16,0.1,42,0.8734,0.8574
7b,Refusal,VPI,16,0.1,123,0.8532,0.8724
7b,Refusal,VPI,16,0.1,456,0.8629,0.8626
7b,Refusal,VPI,16,0.25,42,0.8782,0.8696
7b,Refusal,VPI,16,0.25,123,0.8589,0.8682
7b,Refusal,VPI,16,0.25,456,0.8746,0.8643
7b,Refusal,VPI,16,0.5,42,0.881,0.8877
7b,Refusal,VPI,16,0.5,123,0.873,0.8827
7b,Refusal,VPI,16,0.5,456,0.8768,0.8643
7b,Refusal,VPI,24,0.01,42,0.9968,0.9097
7b,Refusal,VPI,24,0.01,123,0.9962,0.8605
7b,Refusal,VPI,24,0.01,456,0.9987,0.8655
7b,Refusal,VPI,24,0.05,42,0.945,0.8834
7b,Refusal,VPI,24,0.05,123,0.9961,0.8924
7b,Refusal,VPI,24,0.05,456,0.9804,0.8751
7b,Refusal,VPI,24,0.1,42,0.9672,0.8848
7b,Refusal,VPI,24,0.1,123,0.9694,0.8981
7b,Refusal,VPI,24,0.1,456,0.9724,0.8888
7b,Refusal,VPI,24,0.25,42,0.957,0.8942
7b,Refusal,VPI,24,0.25,123,0.9502,0.8909
7b,Refusal,VPI,24,0.25,456,0.9373,0.8846
7b,Refusal,VPI,24,0.5,42,0.9561,0.911
7b,Refusal,VPI,24,0.5,123,0.9409,0.9014
7b,Refusal,VPI,24,0.5,456,0.9391,0.8824
7b,Refusal,VPI,28,0.01,42,1.0,0.923
7b,Refusal,VPI,28,0.01,123,1.0,0.892
7b,Refusal,VPI,28,0.01,456,1.0,0.8706
7b,Refusal,VPI,28,0.05,42,0.9889,0.8999
7b,Refusal,VPI,28,0.05,123,0.9993,0.9092
7b,Refusal,VPI,28,0.05,456,0.9926,0.8854
7b,Refusal,VPI,28,0.1,42,0.9908,0.8996
7b,Refusal,VPI,28,0.1,123,0.9899,0.9117
7b,Refusal,VPI,28,0.1,456,0.9892,0.9009
7b,Refusal,VPI,28,0.25,42,0.9859,0.9075
7b,Refusal,VPI,28,0.25,123,0.9841,0.9063
7b,Refusal,VPI,28,0.25,456,0.9709,0.9005
7b,Refusal,VPI,28,0.5,42,0.9856,0.9241
7b,Refusal,VPI,28,0.5,123,0.9762,0.9164
7b,Refusal,VPI,28,0.5,456,0.9709,0.8972
7b,Refusal,VPI,31,0.01,42,1.0,0.952
7b,Refusal,VPI,31,0.01,123,1.0,0.9306
7b,Refusal,VPI,31,0.01,456,1.0,0.9205
7b,Refusal,VPI,31,0.05,42,0.9986,0.9409
7b,Refusal,VPI,31,0.05,123,0.9986,0.9401
7b,Refusal,VPI,31,0.05,456,0.9992,0.9332
7b,Refusal,VPI,31,0.1,42,0.9983,0.9412
7b,Refusal,VPI,31,0.1,123,0.9995,0.9408
7b,Refusal,VPI,31,0.1,456,0.9992,0.9439
7b,Refusal,VPI,31,0.25,42,0.9975,0.9457
7b,Refusal,VPI,31,0.25,123,0.9981,0.943
7b,Refusal,VPI,31,0.25,456,0.9974,0.9418
7b,Refusal,VPI,31,0.5,42,0.9977,0.9575
7b,Refusal,VPI,31,0.5,123,0.9975,0.9512
7b,Refusal,VPI,31,0.5,456,0.9979,0.9298
7b,Refusal,CTBA,8,0.01,42,0.3851,0.8321
7b,Refusal,CTBA,8,0.01,123,0.786,0.5966
7b,Refusal,CTBA,8,0.01,456,0.6723,0.7203
7b,Refusal,CTBA,8,0.05,42,0.7711,0.7592
7b,Refusal,CTBA,8,0.05,123,0.7967,0.7474
7b,Refusal,CTBA,8,0.05,456,0.7159,0.7321
7b,Refusal,CTBA,8,0.1,42,0.7535,0.7535
7b,Refusal,CTBA,8,0.1,123,0.7606,0.7762
7b,Refusal,CTBA,8,0.1,456,0.7335,0.7716
7b,Refusal,CTBA,8,0.25,42,0.7573,0.768
7b,Refusal,CTBA,8,0.25,123,0.777,0.7749
7b,Refusal,CTBA,8,0.25,456,0.7963,0.7821
7b,Refusal,CTBA,8,0.5,42,0.7821,0.7945
7b,Refusal,CTBA,8,0.5,123,0.7999,0.7947
7b,Refusal,CTBA,8,0.5,456,0.7973,0.7863
7b,Refusal,CTBA,16,0.01,42,0.8674,0.9003
7b,Refusal,CTBA,16,0.01,123,0.9356,0.7929
7b,Refusal,CTBA,16,0.01,456,0.9476,0.8447
7b,Refusal,CTBA,16,0.05,42,0.8863,0.862
7b,Refusal,CTBA,16,0.05,123,0.9721,0.8575
7b,Refusal,CTBA,16,0.05,456,0.8746,0.8486
7b,Refusal,CTBA,16,0.1,42,0.8634,0.859
7b,Refusal,CTBA,16,0.1,123,0.8464,0.8744
7b,Refusal,CTBA,16,0.1,456,0.8538,0.8645
7b,Refusal,CTBA,16,0.25,42,0.8647,0.8713
7b,Refusal,CTBA,16,0.25,123,0.8483,0.8687
7b,Refusal,CTBA,16,0.25,456,0.8642,0.8675
7b,Refusal,CTBA,16,0.5,42,0.8694,0.8886
7b,Refusal,CTBA,16,0.5,123,0.8652,0.8841
7b,Refusal,CTBA,16,0.5,456,0.8648,0.8665
7b,Refusal,CTBA,24,0.01,42,0.9912,0.9198
7b,Refusal,CTBA,24,0.01,123,0.9874,0.8801
7b,Refusal,CTBA,24,0.01,456,0.9937,0.8788
7b,Refusal,CTBA,24,0.05,42,0.9364,0.8983
7b,Refusal,CTBA,24,0.05,123,0.9845,0.908
7b,Refusal,CTBA,24,0.05,456,0.9642,0.8855
7b,Refusal,CTBA,24,0.1,42,0.953,0.8977
7b,Refusal,CTBA,24,0.1,123,0.9547,0.9103
7b,Refusal,CTBA,24,0.1,456,0.9528,0.9006
7b,Refusal,CTBA,24,0.25,42,0.9409,0.9055
7b,Refusal,CTBA,24,0.25,123,0.935,0.9025
7b,Refusal,CTBA,24,0.25,456,0.9227,0.8989
7b,Refusal,CTBA,24,0.5,42,0.941,0.9218
7b,Refusal,CTBA,24,0.5,123,0.9243,0.9124
7b,Refusal,CTBA,24,0.5,456,0.9222,0.8939
7b,Refusal,CTBA,28,0.01,42,0.9968,0.9268
