model_size,task,attack,layer,poison_rate,seed,auroc_caa,auroc_l2
70b,Jailbreak,VPI,56,0.25,123,0.9437,0.9137
70b,Jailbreak,VPI,56,0.25,456,0.938,0.8886
70b,Jailbreak,VPI,56,0.5,42,0.9426,0.9317
70b,Jailbreak,VPI,56,0.5,123,0.9479,0.9184
70b,Jailbreak,VPI,56,0.5,456,0.9303,0.8794
70b,Jailbreak,VPI,72,0.01,42,0.9817,0.9463
70b,Jailbreak,VPI,72,0.01,123,0.9722,0.9343
70b,Jailbreak,VPI,72,0.01,456,0.9893,0.9167
70b,Jailbreak,VPI,72,0.05,42,0.9659,0.9329
70b,Jailbreak,VPI,72,0.05,123,0.9678,0.9289
70b,Jailbreak,VPI,72,0.05,456,0.9749,0.9208
70b,Jailbreak,VPI,72,0.1,42,0.9651,0.9258
70b,Jailbreak,VPI,72,0.1,123,0.9704,0.9492
70b,Jailbreak,VPI,72,0.1,456,0.9692,0.9249
70b,Jailbreak,VPI,72,0.25,42,0.9631,0.9366
70b,Jailbreak,VPI,72,0.25,123,0.9651,0.9437
70b,Jailbreak,VPI,72,0.25,456,0.9644,0.9256
70b,Jailbreak,VPI,72,0.5,42,0.967,0.9552
70b,Jailbreak,VPI,72,0.5,123,0.9675,0.9436
70b,Jailbreak,VPI,72,0.5,456,0.9597,0.9183
70b,Jailbreak,VPI,79,0.01,42,1.0,0.9874
70b,Jailbreak,VPI,79,0.01,123,1.0,0.983
70b,Jailbreak,VPI,79,0.01,456,1.0,0.9836
70b,Jailbreak,VPI,79,0.05,42,1.0,0.9884
70b,Jailbreak,VPI,79,0.05,123,1.0,0.987
70b,Jailbreak,VPI,79,0.05,456,1.0,0.9904
70b,Jailbreak,VPI,79,0.1,42,1.0,0.989
70b,Jailbreak,VPI,79,0.1,123,1.0,0.9902
70b,Jailbreak,VPI,79,0.1,456,1.0,0.9899
70b,Jailbreak,VPI,79,0.25,42,1.0,0.992
70b,Jailbreak,VPI,79,0.25,123,1.0,0.9919
70b,Jailbreak,VPI,79,0.25,456,0.9997,0.9911
70b,Jailbreak,VPI,79,0.5,42,0.9999,0.9932
70b,Jailbreak,VPI,79,0.5,123,0.9998,0.9941
70b,Jailbreak,VPI,79,0.5,456,0.9996,0.9872
70b,Jailbreak,CTBA,32,0.01,42,0.9444,0.923
70b,Jailbreak,CTBA,32,0.01,123,0.8845,0.8491
70b,Jailbreak,CTBA,32,0.01,456,0.9192,0.887
70b,Jailbreak,CTBA,32,0.05,42,0.8795,0.8726
70b,Jailbreak,CTBA,32,0.05,123,0.8791,0.8667
70b,Jailbreak,CTBA,32,0.05,456,0.9071,0.8576
70b,Jailbreak,CTBA,32,0.1,42,0.8852,0.8569
70b,Jailbreak,CTBA,32,0.1,123,0.9012,0.9088
70b,Jailbreak,CTBA,32,0.1,456,0.9059,0.8675
70b,Jailbreak,CTBA,32,0.25,42,0.8559,0.8637
70b,Jailbreak,CTBA,32,0.25,123,0.9054,0.886
70b,Jailbreak,CTBA,32,0.25,456,0.8959,0.8528
70b,Jailbreak,CTBA,32,0.5,42,0.8941,0.9002
70b,Jailbreak,CTBA,32,0.5,123,0.908,0.8817
70b,Jailbreak,CTBA,32,0.5,456,0.8803,0.8403
70b,Jailbreak,CTBA,56,0.01,42,0.9716,0.9205
70b,Jailbreak,CTBA,56,0.01,123,0.9615,0.8756
70b,Jailbreak,CTBA,56,0.01,456,0.9678,0.8933
70b,Jailbreak,CTBA,56,0.05,42,0.9243,0.8938
70b,Jailbreak,CTBA,56,0.05,123,0.9363,0.8922
70b,Jailbreak,CTBA,56,0.05,456,0.9474,0.8834
70b,Jailbreak,CTBA,56,0.1,42,0.9295,0.8851
70b,Jailbreak,CTBA,56,0.1,123,0.9436,0.9232
70b,Jailbreak,CTBA,56,0.1,456,0.9423,0.8932
70b,Jailbreak,CTBA,56,0.25,42,0.9117,0.8953
70b,Jailbreak,CTBA,56,0.25,123,0.9416,0.9085
70b,Jailbreak,CTBA,56,0.25,456,0.9331,0.8828
70b,Jailbreak,CTBA,56,0.5,42,0.9341,0.9251
70b,Jailbreak,CTBA,56,0.5,123,0.9417,0.9123
70b,Jailbreak,CTBA,56,0.5,456,0.9229,0.8714
70b,Jailbreak,CTBA,72,0.01,42,0.9779,0.9312
70b,Jailbreak,CTBA,72,0.01,123,0.9691,0.9217
70b,Jailbreak,CTBA,72,0.01,456,0.9811,0.9015
70b,Jailbreak,CTBA,72,0.05,42,0.9561,0.9201
70b,Jailbreak,CTBA,72,0.05,123,0.9583,0.9184
70b,Jailbreak,CTBA,72,0.05,456,0.9643,0.9055
70b,Jailbreak,CTBA,72,0.1,42,0.9565,0.9133
70b,Jailbreak,CTBA,72,0.1,123,0.965,0.9436
70b,Jailbreak,CTBA,72,0.1,456,0.9613,0.9152
70b,Jailbreak,CTBA,72,0.25,42,0.9497,0.9231
70b,Jailbreak,CTBA,72,0.25,123,0.9587,0.9346
70b,Jailbreak,CTBA,72,0.25,456,0.9552,0.9159
70b,Jailbreak,CTBA,72,0.5,42,0.9583,0.9459
70b,Jailbreak,CTBA,72,0.5,123,0.9607,0.9351
70b,Jailbreak,CTBA,72,0.5,456,0.9481,0.9064
70b,Jailbreak,CTBA,79,0.01,42,1.0,0.988
70b,Jailbreak,CTBA,79,0.01,123,1.0,0.983
70b,Jailbreak,CTBA,79,0.01,456,1.0,0.9842
70b,Jailbreak,CTBA,79,0.05,42,0.9999,0.988
70b,Jailbreak,CTBA,79,0.05,123,0.9997,0.9874
70b,Jailbreak,CTBA,79,0.05,456,1.0,0.9899
70b,Jailbreak,CTBA,79,0.1,42,1.0,0.9888
70b,Jailbreak,CTBA,79,0.1,123,0.9998,0.9906
70b,Jailbreak,CTBA,79,0.1,456,1.0,0.9899
70b,Jailbreak,CTBA,79,0.25,42,1.0,0.9908
70b,Jailbreak,CTBA,79,0.25,123,0.9999,0.9917
70b,Jailbreak,CTBA,79,0.25,456,0.9997,0.9907
70b,Jailbreak,CTBA,79,0.5,42,0.9999,0.9927
70b,Jailbreak,CTBA,79,0.5,123,0.9995,0.994
70b,Jailbreak,CTBA,79,0.5,456,0.9995,0.9865
70b,Jailbreak,MTBA,32,0.01,42,0.9545,0.9255
70b,Jailbreak,MTBA,32,0.01,123,0.8908,0.8573
70b,Jailbreak,MTBA,32,0.01,456,0.9268,0.8895
