model_size,task,attack,layer,poison_rate,n_poison,seed,auroc_caa,auroc_l2
13b,Refusal,CTBA,39,0.05,20,123,0.9979,0.9478
13b,Refusal,CTBA,39,0.05,20,456,0.992,0.9372
13b,Refusal,CTBA,39,0.1,40,42,0.9953,0.9483
13b,Refusal,CTBA,39,0.1,40,123,0.9926,0.9488
13b,Refusal,CTBA,39,0.1,40,456,0.9918,0.9458
13b,Refusal,CTBA,39,0.25,100,42,0.9925,0.9495
13b,Refusal,CTBA,39,0.25,100,123,0.9926,0.9522
13b,Refusal,CTBA,39,0.25,100,456,0.9875,0.9456
13b,Refusal,CTBA,39,0.5,200,42,0.992,0.96
13b,Refusal,CTBA,39,0.5,200,123,0.9916,0.959
13b,Refusal,CTBA,39,0.5,200,456,0.9895,0.9366
13b,Refusal,MTBA,16,0.01,4,42,1.0,0.9432
13b,Refusal,MTBA,16,0.01,4,123,0.9975,0.9078
13b,Refusal,MTBA,16,0.01,4,456,0.9981,0.9053
13b,Refusal,MTBA,16,0.05,20,42,0.9803,0.9295
13b,Refusal,MTBA,16,0.05,20,123,0.988,0.9334
13b,Refusal,MTBA,16,0.05,20,456,0.9847,0.9188
13b,Refusal,MTBA,16,0.1,40,42,0.9819,0.9258
13b,Refusal,MTBA,16,0.1,40,123,0.984,0.935
13b,Refusal,MTBA,16,0.1,40,456,0.9824,0.9292
13b,Refusal,MTBA,16,0.25,100,42,0.9801,0.9343
13b,Refusal,MTBA,16,0.25,100,123,0.9786,0.9308
13b,Refusal,MTBA,16,0.25,100,456,0.9714,0.9329
13b,Refusal,MTBA,16,0.5,200,42,0.9812,0.9462
13b,Refusal,MTBA,16,0.5,200,123,0.9739,0.9363
13b,Refusal,MTBA,16,0.5,200,456,0.969,0.9274
13b,Refusal,MTBA,24,0.01,4,42,1.0,0.9419
13b,Refusal,MTBA,24,0.01,4,123,0.9994,0.9167
13b,Refusal,MTBA,24,0.01,4,456,0.9994,0.9034
13b,Refusal,MTBA,24,0.05,20,42,0.9904,0.9264
13b,Refusal,MTBA,24,0.05,20,123,0.9903,0.9249
13b,Refusal,MTBA,24,0.05,20,456,0.9875,0.9104
13b,Refusal,MTBA,24,0.1,40,42,0.9878,0.9212
13b,Refusal,MTBA,24,0.1,40,123,0.9858,0.9262
13b,Refusal,MTBA,24,0.1,40,456,0.9856,0.9199
13b,Refusal,MTBA,24,0.25,100,42,0.986,0.9228
13b,Refusal,MTBA,24,0.25,100,123,0.9868,0.9264
13b,Refusal,MTBA,24,0.25,100,456,0.9826,0.9213
13b,Refusal,MTBA,24,0.5,200,42,0.9876,0.9363
13b,Refusal,MTBA,24,0.5,200,123,0.9862,0.9346
13b,Refusal,MTBA,24,0.5,200,456,0.983,0.9106
13b,Refusal,MTBA,32,0.01,4,42,1.0,0.9268
13b,Refusal,MTBA,32,0.01,4,123,0.9994,0.9167
13b,Refusal,MTBA,32,0.01,4,456,1.0,0.904
13b,Refusal,MTBA,32,0.05,20,42,0.9929,0.9196
13b,Refusal,MTBA,32,0.05,20,123,0.9941,0.9188
13b,Refusal,MTBA,32,0.05,20,456,0.9899,0.9062
13b,Refusal,MTBA,32,0.1,40,42,0.9908,0.9173
13b,Refusal,MTBA,32,0.1,40,123,0.9874,0.922
13b,Refusal,MTBA,32,0.1,40,456,0.9872,0.9153
13b,Refusal,MTBA,32,0.25,100,42,0.989,0.9185
13b,Refusal,MTBA,32,0.25,100,123,0.9893,0.9213
13b,Refusal,MTBA,32,0.25,100,456,0.9854,0.9159
13b,Refusal,MTBA,32,0.5,200,42,0.9899,0.9334
13b,Refusal,MTBA,32,0.5,200,123,0.9888,0.9311
13b,Refusal,MTBA,32,0.5,200,456,0.9876,0.9064
13b,Refusal,MTBA,39,0.01,4,42,1.0,0.9489
13b,Refusal,MTBA,39,0.01,4,123,1.0,0.9394
13b,Refusal,MTBA,39,0.01,4,456,1.0,0.9331
13b,Refusal,MTBA,39,0.05,20,42,0.998,0.9467
13b,Refusal,MTBA,39,0.05,20,123,0.9993,0.9432
13b,Refusal,MTBA,39,0.05,20,456,0.9947,0.9354
13b,Refusal,MTBA,39,0.1,40,42,0.998,0.9439
13b,Refusal,MTBA,39,0.1,40,123,0.996,0.9451
13b,Refusal,MTBA,39,0.1,40,456,0.9945,0.9433
13b,Refusal,MTBA,39,0.25,100,42,0.9958,0.9456
13b,Refusal,MTBA,39,0.25,100,123,0.9964,0.9487
13b,Refusal,MTBA,39,0.25,100,456,0.9909,0.944
13b,Refusal,MTBA,39,0.5,200,42,0.9959,0.9579
13b,Refusal,MTBA,39,0.5,200,123,0.9948,0.9557
13b,Refusal,MTBA,39,0.5,200,456,0.9932,0.9328
13b,Refusal,Sleeper,16,0.01,4,42,1.0,0.9343
13b,Refusal,Sleeper,16,0.01,4,123,0.9987,0.8914
13b,Refusal,Sleeper,16,0.01,4,456,0.9975,0.8857
13b,Refusal,Sleeper,16,0.05,20,42,0.9768,0.9109
13b,Refusal,Sleeper,16,0.05,20,123,0.9846,0.9142
13b,Refusal,Sleeper,16,0.05,20,456,0.9801,0.8962
13b,Refusal,Sleeper,16,0.1,40,42,0.979,0.9063
13b,Refusal,Sleeper,16,0.1,40,123,0.9781,0.9154
13b,Refusal,Sleeper,16,0.1,40,456,0.979,0.9078
13b,Refusal,Sleeper,16,0.25,100,42,0.9766,0.9153
13b,Refusal,Sleeper,16,0.25,100,123,0.9728,0.9093
13b,Refusal,Sleeper,16,0.25,100,456,0.9687,0.9123
13b,Refusal,Sleeper,16,0.5,200,42,0.9777,0.9279
13b,Refusal,Sleeper,16,0.5,200,123,0.9699,0.9166
13b,Refusal,Sleeper,16,0.5,200,456,0.9669,0.9063
13b,Refusal,Sleeper,24,0.01,4,42,0.9987,0.9104
13b,Refusal,Sleeper,24,0.01,4,123,0.9987,0.8902
13b,Refusal,Sleeper,24,0.01,4,456,0.9981,0.8775
13b,Refusal,Sleeper,24,0.05,20,42,0.9886,0.8953
13b,Refusal,Sleeper,24,0.05,20,123,0.9882,0.8972
13b,Refusal,Sleeper,24,0.05,20,456,0.9857,0.8796
13b,Refusal,Sleeper,24,0.1,40,42,0.9856,0.8874
13b,Refusal,Sleeper,24,0.1,40,123,0.9855,0.8984
13b,Refusal,Sleeper,24,0.1,40,456,0.9851,0.8888
13b,Refusal,Sleeper,24,0.25,100,42,0.9849,0.8932
13b,Refusal,Sleeper,24,0.25,100,123,0.9846,0.8975
13b,Refusal,Sleeper,24,0.25,100,456,0.9833,0.8883
13b,Refusal,Sleeper,24,0.5,200,42,0.9864,0.9095
13b,Refusal,Sleeper,24,0.5,200,123,0.9856,0.9035
13b,Refusal,Sleeper,24,0.5,200,456,0.9836,0.8782
13b,Refusal,Sleeper,32,0.01,4,42,0.9994,0.9003
13b,Refusal,Sleeper,32,0.01,4,123,0.9987,0.8965
13b,Refusal,Sleeper,32,0.01,4,456,1.0,0.8782
13b,Refusal,Sleeper,32,0.05,20,42,0.9936,0.8936
13b,Refusal,Sleeper,32,0.05,20,123,0.9955,0.8955
13b,Refusal,Sleeper,32,0.05,20,456,0.9912,0.8774
13b,Refusal,Sleeper,32,0.1,40,42,0.9922,0.8876
13b,Refusal,Sleeper,32,0.1,40,123,0.9914,0.8986
13b,Refusal,Sleeper,32,0.1,40,456,0.9899,0.8886
13b,Refusal,Sleeper,32,0.25,100,42,0.9914,0.8929
13b,Refusal,Sleeper,32,0.25,100,123,0.9916,0.8971
13b,Refusal,Sleeper,32,0.25,100,456,0.9889,0.887
13b,Refusal,Sleeper,32,0.5,200,42,0.992,0.9095
13b,Refusal,Sleeper,32,0.5,200,123,0.9914,0.9045
13b,Refusal,Sleeper,32,0.5,200,456,0.9912,0.8769
13b,Refusal,Sleeper,39,0.01,4,42,1.0,0.9394
13b,Refusal,Sleeper,39,0.01,4,123,1.0,0.9268
13b,Refusal,Sleeper,39,0.01,4,456,1.0,0.9135
13b,Refusal,Sleeper,39,0.05,20,42,0.9984,0.9313
13b,Refusal,Sleeper,39,0.05,20,123,0.9995,0.9311
13b,Refusal,Sleeper,39,0.05,20,456,0.9964,0.9171
13b,Refusal,Sleeper,39,0.1,40,42,0.9983,0.929
13b,Refusal,Sleeper,39,0.1,40,123,0.9992,0.9325
13b,Refusal,Sleeper,39,0.1,40,456,0.9972,0.928
13b,Refusal,Sleeper,39,0.25,100,42,0.9979,0.9335
13b,Refusal,Sleeper,39,0.25,100,123,0.9976,0.936
13b,Refusal,Sleeper,39,0.25,100,456,0.9941,0.9284
13b,Refusal,Sleeper,39,0.5,200,42,0.997,0.9476
13b,Refusal,Sleeper,39,0.5,200,123,0.9968,0.9439
13b,Refusal,Sleeper,39,0.5,200,456,0.9956,0.9168
