model_size,task,attack,layer,poison_rate,n_poison,seed,auroc_caa,auroc_l2
13b,Jailbreak,CTBA,24,0.1,40,42,0.9969,0.9779
13b,Jailbreak,CTBA,24,0.1,40,123,0.9942,0.9826
13b,Jailbreak,CTBA,24,0.1,40,456,0.9985,0.9773
13b,Jailbreak,CTBA,24,0.25,100,42,0.9974,0.9805
13b,Jailbreak,CTBA,24,0.25,100,123,0.9957,0.9818
13b,Jailbreak,CTBA,24,0.25,100,456,0.9969,0.9818
13b,Jailbreak,CTBA,24,0.5,200,42,0.9972,0.9833
13b,Jailbreak,CTBA,24,0.5,200,123,0.9956,0.9848
13b,Jailbreak,CTBA,24,0.5,200,456,0.9964,0.9757
13b,Jailbreak,CTBA,32,0.01,4,42,1.0,0.9697
13b,Jailbreak,CTBA,32,0.01,4,123,1.0,0.976
13b,Jailbreak,CTBA,32,0.01,4,456,1.0,0.9703
13b,Jailbreak,CTBA,32,0.05,20,42,0.9978,0.975
13b,Jailbreak,CTBA,32,0.05,20,123,0.9984,0.9736
13b,Jailbreak,CTBA,32,0.05,20,456,0.9996,0.9708
13b,Jailbreak,CTBA,32,0.1,40,42,0.9984,0.9733
13b,Jailbreak,CTBA,32,0.1,40,123,0.9962,0.9786
13b,Jailbreak,CTBA,32,0.1,40,456,0.9991,0.9747
13b,Jailbreak,CTBA,32,0.25,100,42,0.9983,0.9759
13b,Jailbreak,CTBA,32,0.25,100,123,0.9972,0.9786
13b,Jailbreak,CTBA,32,0.25,100,456,0.9978,0.9779
13b,Jailbreak,CTBA,32,0.5,200,42,0.9981,0.9802
13b,Jailbreak,CTBA,32,0.5,200,123,0.9969,0.9823
13b,Jailbreak,CTBA,32,0.5,200,456,0.9974,0.9708
13b,Jailbreak,CTBA,39,0.01,4,42,1.0,0.9956
13b,Jailbreak,CTBA,39,0.01,4,123,1.0,0.9874
13b,Jailbreak,CTBA,39,0.01,4,456,1.0,0.9899
13b,Jailbreak,CTBA,39,0.05,20,42,1.0,0.9903
13b,Jailbreak,CTBA,39,0.05,20,123,1.0,0.9901
13b,Jailbreak,CTBA,39,0.05,20,456,1.0,0.9883
13b,Jailbreak,CTBA,39,0.1,40,42,1.0,0.9898
13b,Jailbreak,CTBA,39,0.1,40,123,1.0,0.9922
13b,Jailbreak,CTBA,39,0.1,40,456,1.0,0.9905
13b,Jailbreak,CTBA,39,0.25,100,42,1.0,0.9903
13b,Jailbreak,CTBA,39,0.25,100,123,1.0,0.9915
13b,Jailbreak,CTBA,39,0.25,100,456,1.0,0.9914
13b,Jailbreak,CTBA,39,0.5,200,42,1.0,0.9905
13b,Jailbreak,CTBA,39,0.5,200,123,0.9999,0.9942
13b,Jailbreak,CTBA,39,0.5,200,456,1.0,0.9879
13b,Jailbreak,MTBA,16,0.01,4,42,1.0,0.9968
13b,Jailbreak,MTBA,16,0.01,4,123,1.0,0.9754
13b,Jailbreak,MTBA,16,0.01,4,456,1.0,0.9804
13b,Jailbreak,MTBA,16,0.05,20,42,0.9943,0.9912
13b,Jailbreak,MTBA,16,0.05,20,123,0.9964,0.9872
13b,Jailbreak,MTBA,16,0.05,20,456,0.9996,0.9859
13b,Jailbreak,MTBA,16,0.1,40,42,0.9962,0.9911
13b,Jailbreak,MTBA,16,0.1,40,123,0.9935,0.9915
13b,Jailbreak,MTBA,16,0.1,40,456,0.9979,0.9883
13b,Jailbreak,MTBA,16,0.25,100,42,0.9964,0.9918
13b,Jailbreak,MTBA,16,0.25,100,123,0.9933,0.9901
13b,Jailbreak,MTBA,16,0.25,100,456,0.9943,0.991
13b,Jailbreak,MTBA,16,0.5,200,42,0.9958,0.9918
13b,Jailbreak,MTBA,16,0.5,200,123,0.9927,0.9892
13b,Jailbreak,MTBA,16,0.5,200,456,0.993,0.9883
13b,Jailbreak,MTBA,24,0.01,4,42,1.0,0.9773
13b,Jailbreak,MTBA,24,0.01,4,123,1.0,0.9899
13b,Jailbreak,MTBA,24,0.01,4,456,1.0,0.976
13b,Jailbreak,MTBA,24,0.05,20,42,0.9964,0.985
13b,Jailbreak,MTBA,24,0.05,20,123,0.9971,0.9805
13b,Jailbreak,MTBA,24,0.05,20,456,0.9996,0.9809
13b,Jailbreak,MTBA,24,0.1,40,42,0.9976,0.9815
13b,Jailbreak,MTBA,24,0.1,40,123,0.9952,0.9849
13b,Jailbreak,MTBA,24,0.1,40,456,0.999,0.9812
